dataset,method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
3d_spatial_arm_ellip_n3_traj,ecomann,proj_true_dist,0.2,7,1.0458006603377206,0.32920303960284536,0.2,1.0458006603377206,0.0,0.0
3d_spatial_arm_ellip_n3_traj,ecomann,proj_true_dist,0.5,7,1.0403397594179427,0.3645378171275046,0.2,1.0458006603377206,-0.005460900919777911,-0.5221741701725855
3d_spatial_arm_ellip_n3_traj,ecomann,proj_true_dist,0.75,7,1.1522277678762163,0.46886144832117704,0.2,1.0458006603377206,0.10642710753849571,10.176615063919273
3d_spatial_arm_ellip_n3_traj,ecomann,proj_true_dist,1.0,7,0.674702273947852,0.3588609793069519,0.2,1.0458006603377206,-0.3710983863898686,-35.484619628183225
3d_spatial_arm_ellip_n3_traj,ecomann,proj_true_dist,1.5,7,0.7530126358781543,0.26523921544910584,0.2,1.0458006603377206,-0.2927880244595663,-27.99654232050458
3d_spatial_arm_ellip_n3_traj,ecomann,proj_true_dist,3.0,7,1.0089378016335624,0.3047935192260252,0.2,1.0458006603377206,-0.036862858704158175,-3.5248456137189708
3d_spatial_arm_ellip_n3_traj,ecomann,proj_manifold_dist,0.2,7,0.5441946046692985,0.2251130136353112,0.2,0.5441946046692985,0.0,0.0
3d_spatial_arm_ellip_n3_traj,ecomann,proj_manifold_dist,0.5,7,0.3809964656829834,0.09713253774621285,0.2,0.5441946046692985,-0.16319813898631508,-29.988929986817663
3d_spatial_arm_ellip_n3_traj,ecomann,proj_manifold_dist,0.75,7,0.49555220348494394,0.23334851209041219,0.2,0.5441946046692985,-0.04864240118435453,-8.93842033107146
3d_spatial_arm_ellip_n3_traj,ecomann,proj_manifold_dist,1.0,7,0.2422976153237479,0.2141496576207233,0.2,0.5441946046692985,-0.30189698934555054,-55.47592474368802
3d_spatial_arm_ellip_n3_traj,ecomann,proj_manifold_dist,1.5,7,0.2752167156764439,0.1718504176287852,0.2,0.5441946046692985,-0.2689778889928546,-49.426783486085775
